Country Name,Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Djibouti,GDP (current US$),395794538.6,409220087.1,452328087.3,462421998.5,478058304.9,466048469.2,491689220.7,497723960.6,494004647.7,502675542,514267869.3,536080148.1,551230861.9,572417440.8,591122039.6,622044665.5,666072101.8,708633194.7,768873684,847918929.1,999105339.3,1049110685,1128611700,1239144502,1353632942,2044440443,2220637966,2424391785,2604955229,2762581334,2913464658,3088851450,3144136197,3392796953,3562814909
Dominica,GDP (current US$),171106184.1,185137243,201429629.6,219762963,234059259.3,245525925.9,264374074.1,274522222.2,292285185.2,302988888.9,322411111.1,331759259.3,333470370.4,377462963,375200000,373318518.5,396711111.1,391455555.6,416674074.1,444685185.2,480003703.7,515618518.5,519859259.3,532081481.5,520355555.6,545325925.9,572255555.6,583177777.8,612711111.1,563355555.6,628244444.4,644259259.3,528944444.4,562911111.1,623062963
Dominican Republic,GDP (current US$),5374299982,6686593060,7073675545,9824483340,11605382504,13081042400,14644734599,16637370839,18241622548,20017450041,21672215547,22136579397,24305780629,25601823688,27137440786,21403167848,22322387382,35777560684,37879830084,43965458509,48091433554,48223781477,53801053353,57948261616,60561635556,62555417415,67014329100,70966782572,75552902636,79070274743,84994732049,89146130745,78546672407,94850719517,1.13478E+11
Ecuador,GDP (current US$),13051881851,13890823705,15239272612,16988535268,18094238119,18938717359,22708673337,24432884442,25226393197,28162053027,27981896948,19645272636,17539454727,23127055000,27054197000,30965208000,35194947000,40278849000,45690762000,49848725000,61139438000,60094978000,68151329000,78986648000,87735048000,96570334000,1.02718E+11,97209558000,97671433000,1.04467E+11,1.07479E+11,1.07596E+11,95865473000,1.07179E+11,1.16133E+11
"Egypt, Arab Rep.",GDP (current US$),34980124929,39756299050,42978914311,37387836491,41855986519,46578631453,51897983393,60159245060,67629716981,78436578171,84828807556,90710704807,99838543960,96684636119,85146067416,80288461538,78782467532,89660339660,1.07426E+11,1.30438E+11,1.62818E+11,1.89147E+11,2.18984E+11,2.3599E+11,2.79117E+11,2.88434E+11,3.05595E+11,3.29367E+11,3.32442E+11,2.48363E+11,2.62589E+11,3.18679E+11,3.83818E+11,4.24672E+11,4.76748E+11
El Salvador,GDP (current US$),4189880000,4372215300,4817542204,5252342400,5813399300,6680269200,7679384000,8921947100,9586327800,10221705900,10936669900,11284197000,11784927700,12282533600,12664190300,13243892200,13724810900,14698000000,15999890000,17011750000,17986890000,17601620000,18447920000,20283780000,21386150000,21990960000,22593470000,23438240000,24191430000,24979190000,26020850000,26881140000,24921190000,29043140000,31870120000
Eritrea,GDP (current US$),,,,,477101651.7,467872714.8,531688311.7,578015625,693535954.2,686490090.1,745523116.9,688918537.1,706370815.6,752371688.7,729321680.2,870248267.6,1109054005,1098424686,1211161880,1317974491,1380188800,1856695551,1589515447,2065001626,,,,,,,,,,,
Estonia,GDP (current US$),,,,,,4013091682,4123011420,4502970889,4786018988,5154420649,5674080543,5756912266,5686579748,6250218423,7370119619,9876595528,12148595031,14109491357,17025671810,22450264166,24342935404,19633984440,19524355419,23303915795,23237406116,25451032781,27055689003,23311847751,24561027788,27469461919,31222632741,31873748770,31820771494,37204563051,38376046175
Eswatini,GDP (current US$),692026454.7,696921542.4,1114694041,1156135718,1284759928,1357189552,1419294254,1698989464,1602741834,1716714070,1576908856,1547888496,1738093840,1542477309,1432221739,2197598466,2770082792,3178112499,3291330019,3469381231,3294084314,3580428053,4438765086,4820478680,4886551484,4464726181,4286015248,3909281650,3724180911,4463673661,4644696656,4616996145,4120621325,4785708166,4741163885
Ethiopia(excludes Eritrea),GDP (current US$),11181119718,11762932007,12478943895,13799799324,10754799037,9051043870,7100806754,7855205207,8761215549,8803539988,8013274132,7892973532,8242349618,8231326016,7850809498,8623691300,10131187261,12401139454,15280861835,19707616773,27066912635,32437389116,29933790334,31952763089,43310721414,47648276605,55612228234,64589328551,74296766562,81770885148,84269180857,95912620248,1.07658E+11,1.11262E+11,1.26773E+11
